,, 2/10, 2/10, 2/11, 2/11, 2/12, 2/12, 2/13, 2/17, 2/17, 2/18, 2/18, 2/19, 2/19, 2/20, 2/24, 2/24,備考
,,火,火,水,水,木,木,金,火,火,水,水,木,木,金,火,火,
,,7:50-8:10,15:00-18:00,7:50-8:10,18:00-20:00,7:50-8:10,15:00-18:00,20:00-21:00,7:50-8:10,15:00-18:00,7:50-8:10,18:00-20:00,7:50-8:10,15:00-18:00,20:00-21:00,7:50-8:10,15:00-18:00,
名前,累積回数,朝練,昼練,朝練,夜練,朝練,昼練,夜練,朝練,昼練,朝練,夜練,朝練,昼練,夜練,朝練,昼練,
保護者01,1,〇,✕,△,✕,△,✕,〇,〇,〇,〇,〇,〇,〇,〇,〇,✕,
保護者02,2,✕,✕,✕,〇,△,✕,〇,〇,✕,〇,△,〇,〇,✕,〇,✕,
保護者03,0,✕,✕,〇,✕,✕,✕,✕,✕,✕,✕,✕,✕,✕,✕,✕,✕,出れずすみません
保護者04,1,✕,〇,△,✕,✕,△,△,〇,✕,△,〇,〇,△,△,〇,〇,
保護者05,0,〇,〇,✕,✕,✕,✕,〇,〇,〇,✕,〇,〇,〇,〇,〇,〇,
保護者06,3,✕,△,✕,✕,✕,△,△,〇,〇,〇,〇,〇,〇,〇,✕,〇,
保護者07,2,✕,✕,✕,✕,✕,✕,✕,✕,〇,✕,✕,✕,✕,✕,✕,✕,少なくてすみません
保護者08,0,〇,〇,✕,✕,✕,✕,〇,〇,〇,〇,△,〇,〇,〇,〇,〇,
保護者09,0,〇,✕,〇,✕,✕,✕,〇,△,〇,〇,✕,〇,〇,〇,〇,△,
保護者10,0,〇,✕,✕,✕,△,✕,〇,〇,〇,〇,〇,〇,△,〇,〇,〇,
保護者11,0,〇,✕,✕,✕,△,✕,〇,〇,△,〇,〇,✕,〇,〇,✕,〇,
保護者12,1,△,△,△,△,△,✕,△,△,△,△,△,△,△,△,△,△,全部30分なら入れます
